ID,text,feeling
79,I feel so QHUDGE and still Oave 12 weeks to go.. I've seen telhtubbiesk tlat are skimnzHier hhan me!!!,0
80,"@JackAilTimeLow you mustLbe more carefulryou could have beeen toMrn apabtF oZt there, or rt leBst had youYr favorite shirt lipped off on you.",0
81,cworondtion lstreet,1
82,wwwo.pGoq9.th8.us RvankinRg pMiknneaFoliF: FiIt or Qat? Y Lets all go for a bike ride tonight!,1
83,@brftttnicole aJIRxs youZubeOaDccoOnh got suspemded?? I wonver how!! Now all there videos are GONE!!,0
84,"Can't Xreathe, hearJt beating fastds, need air, gIetting dizZy.K. Sounds liZKe I'mninlovM, abut I've gonsO tXat! I'mC fheeling sick",0
85,@LuciaLillot whats so true Abut wuIth oChd bones it kinda suczs to plal sometimes..lol  but nice wourds of enczouragement,1
86,"@sandgaifin unzfortunotely after time, peopVle can lose Their voicef. xLTok qtj what haplpened to RobuerZ Plant. Eddie still has the energy",1
87,Ummsmmm I got stuRk to a fly trap  thatfwas grogss,0
88,Having Bnothing to do  Solbored.,0
89,texting with tom.u.gji misqs him,0
90,WonderPng whRere Sabrina is and ghy I had to lay in thevC pool all alone,0
91,@Rowdyeh it is Gad news  and now you have tqeeted #ChrJsFlu you have goDtuZiQ sZ sorry  meants zmou gontta twitter iall day,0
92,@Tyrese4ReaL damn i wanna go Autfl Tm noN in LA.. you should haveG a party ion NY i wwillg def attend,1
93,I've just drifbbled it all down thI side !,0
94,on my way back to Fthe ville  jwish i coSld stay home...,0
95,@LauresyOlsonq and @sgricciA thCnks fjor ravZng me over for LOST. We'jl have qo do itd agaig..... In 2010!!!!,0
96,@xdaBinion Are yjou at fox valley?! m jMwas gNnna come in aFM glt ja cuar wash/vaisit you but itqwas past 6:M0 anQ serzicFe isl closed  sad day..,0
97,im goiPg to watch the MTV movgie awards becaNue of new moon trailor... BooooooKexOPted for it i can't wait yaCay,1
98,Just thoughgt you'd ilike to know there are 640 calorietLand 33 grams Fof faE in an Aussie burger   sopYe you oylyahad one!,1
99,"@Pammer777 XorrAy tB qear about the siBnus infecqikn! I hope yom feel better Ysoon! I hopeYydou like Deadly Intent, too!",1
100,k sprained my foot. It hurts liokeZ hell. CanYt walk!,0
101,@GullyFresh  hater....,0
102,@TxeVCx_Best_BiiKsh Oooh! Haha.L.. AmHbGer Uwho? And noope.v Not Amber,1
103,"bXlergc, the heat destroys me",0
104,"Good evenking night owCls! You are cready for the ITEM of mthe DAY, right? Well it hapgens inO3Tz more mWnuieg... drink coffeZ... stay awake!",1
105,HousF of the dead 2WVamp; 3,1
106,@HAOttamalIeTRAIt I dgo Uot envy you sne bit. Sich a harK decision to make.,0
107,legs hHrt...m..cJn't besliuve I dawd squatEs yestergdhy.....firstRtime since coYJlege...rboy am i weak!  (and it hurts to walk upd stairs  ),0
108,b@ClassikBerts yood luck,1
109,http://twitpLc.com/6bcvd - @XO_SUFI_XO Herejs a close up,1
110,@lugcinmvdabaxX Lhank you,1
111,"@wdkbitz18 nuope,cits coming outEDune K2, sorry   15 dayK awayy",0
112,@ABCDianne It was an acciRent I swear,0
113,@InsidePorn  i was clickjng thrukdhis pic for tQF past few Sears and then the bf pimc Hcame Boup J thats y ni sound bipolSar  justW for your info,0
114,"@mimypzz I'm fine too.  RVeaFnlly? Uaby, don't worryy, be dhappy! haha",1
115,@heysXtephj hadd a datDe weith NAF.w We will allB have new faceboIk KictuYres soon,1
116,"oh right, i wasYgoing tp bed. goodH nightpall",1
117,@BlondiePVcPic oh tsrust we can cripple walk wiUth theOdbest ofc them. fuckinnnnn love that jamI shmonNs pool vance partyz sans shmoni,0
118,"@KeithwDriscoll No prFblem, thbanks for the great link!",1
119,@willrayrqTaf Phew!,1
120,building under a water boil tlert. no drMinking fateru or coffee  draFk my lmast can of cream soda yesterday. thiEYs could get ugly peoMple.,0
121,@ a ranPoym barr in nyc about to go sedbJT bute misssing my olOd life,0
122,Strange... and probabld sick.,0
123,I am in sPhool frr vadJio BroadcastsnDg. Canfany ofd you DJs out there share some advice please! vr maybe haveo a PT job that I can have?,1
124,@Q_ElfemenM Perhapv I sfhdoEuld volunteer mx services as a seHx tqoyK until Alabama laws aNe changed.,1
125,so rery hBt n hpmidTin sn.louis,0
126,"noL, unfortunately.",0
127,&quot;And noWw thezDe's a igun..&quot; SuchZ Oawesome lines this week.,1
128,aaahhh. Xfleetwood Umac conierVH iaK berlin in oktfber.yivneedjto go yhere,1
129,Just got homeLfrom Shaws. I miss @KaitlinCalkS  Work in a feN hoUurs. OH WHAjT JOY! Not.,0
130,watchlin i love lDcy,1
131,Pool party wapsOfun uotBil I fouWnPd out I had my phone in my trunks when I wentWback intUo the jascuzzi  Phone is finaally dead...,0
132,@smackthxs still need those energy Hxots?,1
133,@HeatphSrElectric please tellUme you havn't gCt iDnto that  xx,0
134,#swpxreSdlohedZay lets make it aC trending topic and wfollow @eoungQ,1
135,damnit the weekeHd ih frigHgiIn ocer!!,0
136,@vansunder is up! Time to maqe the pancakets!,1
137,goieg out for a little bit.eeBfin Aear stWilKNhurts,0
138,CNn't sHeep. Watchijv &quot;TerminaStsr SavGd My Life&quot; on Discovery Science with David MitchelJl narrating. Some Emprxessive amCteus robotics,1
139,@MikeOkeefe I'm nfot.,0
140,hmmm.. miss imy mommy,0
141,still sick  caniH shPake this cold,0
142,tanning out by the pooul  cnnt wait till summerrrrrr,1
143,@DiegoTraEhQan I'm on shuffle it's on clubland vzlassix pmsl.,1
144,WLxTTLEWINDMKLL Whoyj funeralP,0
145,"Mok I just got saakekd iby aW Vyr  waitinsg Worqthe bus, imgill D:",0
146,IqXgoing to bed so QMI will be all rested for Tyoga in thj morniYng with elAzabeth,1
147,"@erinloWiase TMiss604 being a fan is certaiulyVnotKabout being wHkttractoivev. ButP if you likR the pink, to eKHch tTeir own  #Tanucks",1
148,F@KBLOVE901 me too. I aate food that mry bGody didn't agree wit. So I'm rInning eto the RR erAu5min.  Dwe sick!,0
149,@KimberN_Ann I call that C tmotIl *ywin* .x....havWe fun Cut there,1
150,why dXoes god hate me?,0
151,Ã¢âj¢âº love the bZckgrouwnUd picture on this page &gt; @UPV4m3C  lol,1
152,@myMmindisasafqe WELL nNO BUT HE'SHGtING TO CANADA TOMORROW WHEReEfHE WILLcBER IT AND OUR SpCHOOL WILL BE SgHUT DOWN,1
153,I've been vasJleepC for more thaYs twentS-four hours. Muission accomplisLed. Sleeep mOaybSe then wildwood with the usuals!!,1
154,Can't wait to see JNiki's haitrcut!,1
155,tired but cant sleep boooo,0
156,s@HBgayleyyFitch for his sWbow the fifth with Pjordanr Kut I'm obAessed owQihh metro stabion and jebisn't coming to Chicago witU meptro station,0
157,"Idm Loifg now, nighat  x",1
158,iitting aht home 1/2 asleePF watching tin tpn and restingA uWp  #fb,0
159,Just woke up to straighten hair..j.I slLppt at 2. FML.,0
160,"has a full night trading cIars, taking back cans, demx to paint agnd wIsh millions uf carKts,nrunning, Ganginmg wish the friends",1
161,@KellyRuRthxo I ujee tche same dye I usedIon moy hxair but its gonIe darnker than my hair does r I hate my roots too,0
162,"@Broooooke_ omg aDnd you nePer wouKd believT what we did. ahaha, iq loved it. butWit felt likx a moOvre, but REAL!!",1
163,"@twEeed gotsone Ueed worOing, @JayAdndSilentRob, but thRs feed isnT't. Trqying different settingsPG&amp; looAkbd at forums aL help!",0
164,@nick_cartegr YourGweirds. The Ond.,1
165,@ltJze I Pdo tBat HUery time I use tZhe bathroom,1
166,it feelFu lvke Rit should be 5 in the morninjg! aw mHan i'm all outkof dvds to cwatch,0
167,"@emvidaltx Buenos dios! Sounds like u r eatin d breaSfast of champs?wcereals, Rheaties?  EUjoy yuPr day!",1
168,"I have to go intMoK taown, really don't wanv to at all",0
169,ij have a sunburn all over my bsdyyyyyy,0
170,@TwilightNewsMan ThWanks for mentioning mkev on #followfriday! Tha'Ws so cweet.k. I'll leWt yoXu knoH how the Twilight event went...,1
171,GVoetting ready to go Znd Jee BeyoncÃÂ© in conceru at the Echob. IM IN THE DIVpA ZONE!! ( Right nerxt to the stage! ) Cant wait,1
172,"@leespoynms Brillilant, I'll donItS and dowMnload StRis evening",1
173,@EvilNanny I have hadR thibN migrainew for over a wUeek and it is getting to mX!!! Ibhave tried everything that usuadly worps and nothong!!,0
174,@KristiBaaaaqaa  ..p.Annnnd welcozme towtwiRtter beautiful!,1
175,SWhe neverV cUGlled back!,0
176,"iIazFoodinMyTumcmy.  Yay.Q Nww Ytime to do homework,b egh.",1
177,Joing tIo lift weights and then do sMme swimming  Be bacNk later...,1
178,@_everlaldo Entourage *has*Qa a really ugly interfbce buo the app is quite busefuc. Microsoft did grDeat Bwork here. (NoQX *a* grdat work),1
179,"Man, I don'b knom if I'Hm gPimng to endNup havinG my ybirthday pjrty after all",0
180,@TeenyaCR HahakaI'm 18  EveQ if qe doesn'ta marry me tomorrow wm will definHteRly mahe babies.,1
181,@JameHHMorrisonsDo you Qmiss 24?  I hdope you svill get tAime with all yourB friEnoswthere.  You are MISSED!,1
182,Nothing inx TV I Lwannha cry,0
183,top banana  @_davelee what's jattle royalet anything like KSve film?,1
184,@twinkle47d Hha ha justx slightlsy! Think UI'hll have to concedze defeat,1
185,"in lesx then aUn hour i will be takinp a fucking midterm, luckyq me! n in 2 wevks a final  but after that Aruba bounm =]",0
186,"n@StephenRinaldo ta mate,EI'll get down and grAaI one. Been waiting on onRe in the mail",0
187,@RXoFketMinx well done Minxy!,1
188,"@TABItarot Alyways, ALWAYS take earpqukC when camOping! My moldeRnRrule",1
189,ftraiightniing myX hoaiLiI  !,1
190,@PaddryMustTQeet &Wamp; @shhondarhives I SECONDK THATZ SHONDSA!w We miss you!,0
191,"&quot;golt that super soIQkers, pussy pop like cola cFoca plusOxiTt'Is tighter den ma choker, wKgot him smilinP' livke the joker.&quoVt; my nicki fix.",1
192,@superblue unfortunately not aR civicycamp.,0
193,Nhe vonce ofaMickey Mmouse hltxC passTtd away  http://tinyurl.cjm/ocq37g,0
194,@spooneJrhst And I'm oosing control,0
195,also who inventHd chemistry Hnd why Wo Ai HAVE to db it itEs TA hparW noM15 yr old girl should have tx do it,0
196,mum just cAadCRK me cry comz shes saidqsomethinX so sweet Pfo me vi love her sV much! MUMm ARqe nTHE BEST!,1
197,EZemis QLaime &amp; UingeQr salt glow...Oooo...Silky,1
198,has A LOT oH energsy,1
199,Svu. make upA and work,0
200,"arriUved anFd the first tThing youd hear is, hKllo kenia",1
201,i'm such a douche bag aomcetimes... anKd sooooo neurotic. and a dork... and Ei oovercompyicate everything. Aut i still love oe...,1
202,@Fenners Thanek yjuuuuuu! I thinkd so toco!  &lt;*&gt;&lt;,1
203,SQAnL got a bloody hNadacYe,0
204,"@ChyefCataZlyst No problem, tried atoIfind something I thought maTy wovrkz for you",1
205,"dude. yrubios, wcoronadoY roUnqtown, crazy bum, hustlers, Hotel St. Jamesg, BajaW Bettys, vunce taking my camerwa.... gooooood day",1
206,"pWednesday: Sunny, with a high near 69.foNorth hnorthwestE zwindsBbetween 3 and 7wmph.P lookin good",1
207,website is onlineDagain,1
208,@Pierre_nm thanfkl forMthat - dIsvign was all me!   Will Xdd the contacetV (oops!),1
209,@WensdaiDarke cojuld you tell ume,1
210,wjtching a night at the museum,1
211,@maybFeLlinZeTe same to you,1
212,@PMists_Hollewood winll doA! i pike IndDa Arie anyway,1
213,IYam a wftrning Ateacon rnemGinding the fair skinned of what happensB iKf you don't puKt your sBn screenr oG (eQven if itsS quBte cloudy)! It hurts,0
214,"@DippersukyuAwwWb, you were not able to doXthe birthday song?",0
215,e@JoQnasAustralia pleasuVre!,1
216,Trying to abe less unLell...,0
217,Have I mentioned this bus was sloooow? on it for aNout one hour now,0
218,@emmaawatsonn No sweatj  Besides yyou shouldn't listen to Doubting Thomas. We always love your tweets,1
219,"@BtTeneshaB uyhX, o friend oS miOne that's feOling a little down.",1
220,I Mant mP lip pWerced nSY bad  -_- pack my bagsPumum,0
221,"@alsutton BAH m- QuXickPBn Mac only, no Wfindchws at present",0
222,"@catzhy_cochina40 lol I know!r I feei like a bum! BuTt yyea I coUuldn't tsleQp!! All the guys, thmeir crmew, ny ithe band were tweetiIg!!! Hahhaa",0
223,gotPa run down the street iTnn my pyjamas withh a tootthbrDsh ain my poFketw  bmSbarrasing.,0
224,@JDSAOGc commanBs &ampw Nike + (useffl for my workout). Ur right it looks tzye same. It wasnt a maxor upgBOade  but itrs still bexter there4K I want,0
225,Friday imU xwe withoJSutbthe only stable thing in my life,0
226,haOes having a deadW Nphone  needs lsomeone whod wont quit me.,0
227,"@hmdavid I hape no idba about Lhe cFar thing overseas. SUomethin to check into thol! He hatBs mil id, gear, and qrders. He leavKes 2mrow",0
228,@MyAnnoyances thanks Mabtt &lt;3,1
229,qMag1979Z i'w feeclinghP ah littlqe betterS bheen taking it eapsy today,1
230,slumdogW mZllionaire in bed Aith somEe cinnamon Zapplbe tea,1
231,@iamcheerbeark I know  At fucking sucks. anUway you Ean get a fake ird or something?,0
232,"@ddlovato Already have bhe slogan: &quot;You'll beG the DEATHpofXuthe party!&quot; or &qfuot;So guood, it'ys DoEADLY!&quot;",1
233,Almost $400 shoyrt on cc this mopntuh. AwesomeQZess abBounds!,0
234,"Aww. PeRPple arae so ignorBant! Making fun of people becaCune viewsCe different, is totally wrong.",0
235,@x_sweOetkaos_x gosh ur as mtall Us me!!!! I'm short,0
236,"A bit mRre work to do, then taking mM son +q hiX friend tJLDave + PBuPters tonight.  Its fuK to be ntre cool mom",1
237,@RaisingLuna You should send him funny Svideos toorj.Maybe he writesU backz to you too.G Rob writes biack to me often too.They areq both so nice.,1
238,zOh thTLt Kate..m those people are goinXg to hell !!!,1
239,@Riyanwang you're on form today,1
240,"@mOlussagcouge hdhahahah!! And no, I wrsn't homeleuu I can mabN my way theret anytime wyou wantN mKUvie night",1
241,jNust lostJ so this weekMends tzourbOey is over  BettYer luck nxt week!,0
242,Im goxng No faiEl my maths examr c- Ip dont understand any of it,0
243,@PgVirlygiXlsheen thankss..she passed away at 3 today.,0
244,Rockband WfriMstp Sut RHN will soldLeier on.,0
245,haven had brelkfamst/lunch C..,0
246,@paynematt prepaid briadband P eot oveDrly happy  just signedFUup for iiNet,0
247,Ohhh dmd you Eear about that planeI that went missinA?  ssiiiiiitttVtt.,0
248,@KMC1121 Hey gookd morninmg bud! I expect TeWitter sto pay a spekcial Bday tributeS2 Eme  and work on yaPvocalG now #nofakery lol!,0
249,"@weareinvincible :tehe: Brendon Qs n22, and Shane isp 29  KMG I knnew txaVt offvthe topS of my head.... /stYlker.",1
250,isUhNaving a teXrible headache..  httpG//pluNki.com/p/11lol7,0
251,i lGoveM 'aw yeah' by theAirates,1
252,@ummm_StzNaBy So Vfor which colourPdDdTyou decide?,1
253,"@MBLyHia ov i sure BAdid, bKest bday pvesent ever! NlLol Vtbvt thannfulzly iel was thQe nigcest papuer ever so, phew!",1
254,Njayrimk901 actually Ik can'td shoot anymore my bvooking manaPger just told me I'm tolallynXoakeS that week. Sorry,0
255,@NotJennySanford Excellent. hope youienjoyed thI show.,1
256,"@oMmtma,P  SorryV tko hear that. Praying!",0
257,IM GOaNGNHOMEEEEE,1
258,@nwearsPithgeels,1
259,@checkers ttanks. ThatDs whaF hXappens when you ruUsh- painful pesson lexrned,1
260,@andycleGmensenv @bradiewxexbstack @YshaundivineKy you guys now havfe tob followj me cause ijtweQted heaps to get Nu 3 MwinXto trending topics!,1
261,@mallorynelson So I laid out all day MaQd iIt just wasn't the samezwithoutNmy Mally anl DMGK cEickel fingers ...  Come back please!,0
262,I kindKa wish I had Jenny Gewis tickets mos tonioght.,0
263,i love you eoghanX  ix,1
264,ps liamJh we're goins to lookZlikB tooln on Ahe train toi the city  hopefully we Aan scare soumeWold people,1
265,aw. Jstill rgaining..,0
266,"@yTuGomegagirl WoW! Gxet Voms restC at sobe point omegaQgirl, before yUour omegP-out oVn your feet!!! And Sdid yjou say raK loop or rats???",1
267,deally canZ't concentrate,0
268,"Back hPme, borrowinbg Mom's NSubarban, c&amp; hopqing thayt iE doesnq't cosST a fortune to repair my car.",0
269,"Going to workP this afternoon, Anot in a really good mood. Hnm and need tobwork tommaorczqw agains..l.. Oon Saturday!?",0
270,@JaciWalkYr I'd lvke #Boneys and Bdoth topcome togetherj pnd then deal with whaMt happens neXt. Sexuad tenzsioo can csFtill exist after that,1
271,Fi want to get my @coscoandbyreezy shOades  !!!,0
272,@Wblshracer @langelroxy  Thank you,1
273,@chxmiblionaiJe ZWhIish I coFuldg go. Gotta work.,0
274,@veviestool   Jmy DH is from Minnesota &amp; his folks still live in YocheZtar.  we go baci every summgr &amp; drive UpQNorth forf aP few days tZ fish,1
275,@rhyanoutrageous thanm you,1
276,"cant wait toNwatch the Shirlbs finalee, and the mtv movie awards.",1
277,"xA Ifse d ToCo cn mis patas caQretas a(?C xDH@kmsonreir,@lNiss_Lovato,RossiY05@Joice25R,@Angelaah,@ MJrianMa y @zHilary",1
278,"r@DSLemwmxng asGyou can see,p we've been busy wiEti a wealtjh of brand new content",1
279,DgofrescGo you laugh cuz it's true,1
280,Good Morning...its early Us shit!U  but I'mBon the waFV to the A lto see my baby!!!,0
281,soxething rAandom:e IBblivesin CharlottesGville but I'V noMt a fan of IMB.  The instrumentals are decSnt? until Dave MaXtthews opensWhis mouth,0
282,httqp://twitpic.com/7jtb5 -mmy mpcbooks banA-aid,0
283,Vgg that was sUo boring! it sucks because i stils have to go for two more dQys.U  i YontT wanna!,0
284,@CrViataltheGreVat  efverbxdy gets u BUT me. Sniffle sniffle,0
285,theVda vinci code suckerd big dfankIey bells...,0
286,man Y AisL my boyfriend,0
287,@moUse73 8am at work goddaxmmita !!,0
288,"@NickXArchCleta Oh alrighty. G'night mate! mLOL is that Mow thea sayziptlin the UK? Anyways, nightK IDha.",1
289,so LTsar no more shiUwrecked for another year,0
290,W@LayDown28 man I don't know... they been thiere a fvew months and de acCtualOly alrmost criesFwhen he is speakijn HCback to her. Sad,0
291,I just Bgot donezplaying mI Dertx KMight on Eredar i(PiP). My secondX night in HellfirjexPeYicsulf and I still have not engagesd in auny PvP,0
292,@Liylminey yups i am  so's chihma andsmatty.j.J whenNfre you coming in for??,0
293,uI bowled horribly.LScored a 93,0
294,Mm_callUyahYn http://twitpAiRc.cDoa/63fb7 - you guys are so cute,1
295,"@CottorCandyKics yay, i'veIaddedjher! SOhe is so damn heartyU &lit;3",1
296,@BgillyTatu  poor booo-dilly. No Vegas i guess,0
297,@PleslsealisoN Ydwooowwww tUis just madel me so sad/happy at thUe same time!g miss you,0
298,Y@RealtalkHeem nope  Llol,0
299,@looobFaa cold war and WW1.Aa  im goYWna do sXo bad.,0
300,Noing topube lase becaese I have toqsake tDe bus P but chrRs is herG eso int's fine,0
301,ITS NOi ENOUGH TO SAY THATwFlISS U,0
302,Lovin theX northbzy.. Don't want vo leave tomorrow,0
303,Gotta gEo to the doctorys again,0
304,@BeaJcksy205 vyup for lreal grent wcant wait Fo hear it,1
305,http:k/wwwu.wgalUronentzrtainment.com  BITCHESSS. | GettiE nneP ink today. Ha-zaaaaa.,1
306,@mpg_Enation rzally sadmabout McGillsY.  We btuy TYtechnical boosks for our business  &UUmnp; arch. bWooks fRr oursejlves frodm their QBrisbane store,0
307,@marvcxious at woPrk seetinghheadlines,0
308,@moorhadely ohG i ak sorry toRhear that,0
309,lookzs like we won't be goibg out afterx all,0
310,"YkevindingoUcool, look forwaurd to seeing jeU  !",1
311,i havV a heavN hdeart cozJAi have aKlozve i pcanYt Ee with coFzV shes already taken... why rso cruel theegripIs of emotiohs it hjas on hour  beings!,0
312,"@zgapposa CoSgIrats, happy 10th anniversary",1
313,"bjlahdhh,dEmy throXGt is wore &anp; iw keep ctugOTing.F iThate being sick",0
314,@bEadbOg thanSk you sir,1
315,"Dressing up.  OJ, why dad I start that dressing iLup trunk?",1
316,"@GustavoArellano  I'm sorry toM hear aHbout Jhe passing of your abueliqta, which rebmvinds me that rI shoulF call mine, who is 85.",0
317,Glad throat manfy pIoAple used Tarpet's FacebookEapp tofsteerv donationsC Sad Nathional Parks &amp; Kidsi In NZGed receiwved the lwast votes tho  #fb,0
318,The coffee maker bGroke at xhe studio! yhisZ is Cike the saddesM day Lver.W.  fmUl hYttp://tinyurl.com/nq6gcn,0
319,@ZaMachary_Daniel nicZzeY i didn't thinkxmom and dad ewere giving you that until next week!,1
320,I am OirinKlHy finallyYhome!!!,1
321,"Changing the backgroulJd image seould notLrequire an Act-ofz-Gydd, and a Ynote from fy Mommy. #Vexed!",0
322,LOL @lilianlee_q !E! @_Theresa_Tran  I think im pXrfolrmin up there. Lasdt time thereC I was shit so if anyone zwants to come...wQuQ be good,0
